Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2010,2011,2015
DZA,Algeria,24720,Country rank and value in the ITU ICT Development Index,Rank,,,112
ECU,Ecuador,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,35.1
ECU,Ecuador,24719,Country rank and value in the ITU ICT Development Index,Value,,,4.5
ECU,Ecuador,24720,Country rank and value in the ITU ICT Development Index,Rank,,,94
EGY,"Egypt, Arab Rep.",24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,50.7
EGY,"Egypt, Arab Rep.",24719,Country rank and value in the ITU ICT Development Index,Value,,,4.3
EGY,"Egypt, Arab Rep.",24720,Country rank and value in the ITU ICT Development Index,Rank,,,97
ESP,Spain,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,82.1
ESP,Spain,24719,Country rank and value in the ITU ICT Development Index,Value,,,7.5
ESP,Spain,24720,Country rank and value in the ITU ICT Development Index,Rank,,,27
EST,Estonia,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,114.3
EST,Estonia,24719,Country rank and value in the ITU ICT Development Index,Value,,,8
EST,Estonia,24720,Country rank and value in the ITU ICT Development Index,Rank,,,18
ETH,Ethiopia,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,11.9
ETH,Ethiopia,24719,Country rank and value in the ITU ICT Development Index,Value,,,1.3
ETH,Ethiopia,24720,Country rank and value in the ITU ICT Development Index,Rank,,,172
FIN,Finland,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,144.1
FIN,Finland,24719,Country rank and value in the ITU ICT Development Index,Value,,,8.1
FIN,Finland,24720,Country rank and value in the ITU ICT Development Index,Rank,,,14
FJI,Fiji,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,48.2
FJI,Fiji,24719,Country rank and value in the ITU ICT Development Index,Value,,,4.2
FJI,Fiji,24720,Country rank and value in the ITU ICT Development Index,Rank,,,102
FRA,France,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,74.7
FRA,France,24719,Country rank and value in the ITU ICT Development Index,Value,,,8
FRA,France,24720,Country rank and value in the ITU ICT Development Index,Rank,,,17
GAB,Gabon,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,33.1
GAB,Gabon,24719,Country rank and value in the ITU ICT Development Index,Value,,,2.8
GAB,Gabon,24720,Country rank and value in the ITU ICT Development Index,Rank,,,126
GBR,United Kingdom,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,87.8
GBR,United Kingdom,24719,Country rank and value in the ITU ICT Development Index,Value,,,8.5
GBR,United Kingdom,24720,Country rank and value in the ITU ICT Development Index,Rank,,,4
GEO,Georgia,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,50.4
GEO,Georgia,24719,Country rank and value in the ITU ICT Development Index,Value,,,5.3
GEO,Georgia,24720,Country rank and value in the ITU ICT Development Index,Rank,,,72
GHA,Ghana,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,66.8
GHA,Ghana,24719,Country rank and value in the ITU ICT Development Index,Value,,,3.8
GHA,Ghana,24720,Country rank and value in the ITU ICT Development Index,Rank,,,111
GIN,Guinea,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,13.9
GIN,Guinea,24719,Country rank and value in the ITU ICT Development Index,Value,,,1.6
GIN,Guinea,24720,Country rank and value in the ITU ICT Development Index,Rank,,,166
GMB,"Gambia, The",24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,10
GMB,"Gambia, The",24719,Country rank and value in the ITU ICT Development Index,Value,,,2.4
GMB,"Gambia, The",24720,Country rank and value in the ITU ICT Development Index,Rank,,,141
GNB,Guinea-Bissau,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,0
GNB,Guinea-Bissau,24719,Country rank and value in the ITU ICT Development Index,Value,,,1.3
GNB,Guinea-Bissau,24720,Country rank and value in the ITU ICT Development Index,Rank,,,171
GNQ,Equatorial Guinea,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,0
GNQ,Equatorial Guinea,24719,Country rank and value in the ITU ICT Development Index,Value,,,1.8
GNQ,Equatorial Guinea,24720,Country rank and value in the ITU ICT Development Index,Rank,,,157
GRC,Greece,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,45.6
GRC,Greece,24719,Country rank and value in the ITU ICT Development Index,Value,,,6.9
GRC,Greece,24720,Country rank and value in the ITU ICT Development Index,Rank,,,40
GRD,Grenada,24703,Active mobile-broadband subscriptions per 100 inhabitants,Value,,,28.8
GRD,Grenada,24719,Country rank and value in the ITU ICT Development Index,Value,,,5
GRD,Grenada,24720,Country rank and value in the ITU ICT Development Index,Rank,,,82
